time	x	y	v
0.000	NaN	NaN	NaN
3.333	NaN	NaN	NaN
6.667	NaN	NaN	NaN
10.000	NaN	NaN	NaN
13.333	NaN	NaN	NaN
16.667	NaN	NaN	NaN
20.000	NaN	NaN	NaN
23.333	NaN	NaN	NaN
26.667	NaN	NaN	NaN
30.000	NaN	NaN	NaN
33.333	NaN	NaN	NaN
36.667	NaN	NaN	NaN
40.000	NaN	NaN	NaN
43.333	NaN	NaN	NaN
46.667	NaN	NaN	NaN
50.000	NaN	NaN	NaN
53.333	NaN	NaN	NaN
56.667	NaN	NaN	NaN
60.000	NaN	NaN	NaN
63.333	NaN	NaN	NaN
66.667	NaN	NaN	NaN
70.000	NaN	NaN	NaN
73.333	NaN	NaN	NaN
76.667	NaN	NaN	NaN
80.000	NaN	NaN	NaN
83.333	NaN	NaN	NaN
86.667	NaN	NaN	NaN
90.000	NaN	NaN	NaN
93.333	NaN	NaN	NaN
96.667	NaN	NaN	NaN
100.000	NaN	NaN	NaN
103.333	NaN	NaN	NaN
106.667	NaN	NaN	NaN
110.000	NaN	NaN	NaN
113.333	NaN	NaN	NaN
116.667	NaN	NaN	NaN
120.000	NaN	NaN	NaN
123.333	NaN	NaN	NaN
126.667	NaN	NaN	NaN
130.000	NaN	NaN	NaN
133.333	NaN	NaN	NaN
136.667	NaN	NaN	NaN
140.000	NaN	NaN	NaN
143.333	NaN	NaN	NaN
146.667	NaN	NaN	NaN
150.000	NaN	NaN	NaN
153.333	NaN	NaN	NaN
156.667	NaN	NaN	NaN
160.000	NaN	NaN	NaN
163.333	728.3	249.8	NaN
166.667	665.5	273.2	NaN
170.000	631.5	366.7	NaN
173.333	578.5	363.4	NaN
176.667	NaN	NaN	NaN
180.000	NaN	NaN	NaN
183.333	NaN	NaN	NaN
186.667	NaN	NaN	NaN
190.000	NaN	NaN	NaN
193.333	521.9	414.3	NaN
196.667	524.7	428.0	NaN
200.000	516.7	450.4	NaN
203.333	508.2	441.2	1344
206.667	496.3	440.1	1596
210.000	501.7	422.3	1811
213.333	505.5	437.9	1193
216.667	504.0	403.3	1327
220.000	517.4	420.0	1045
223.333	516.1	431.6	1782
226.667	524.0	437.6	2473
230.000	513.6	429.2	1738
233.333	515.9	466.9	1347
236.667	508.6	449.7	878
240.000	508.8	449.7	401
243.333	519.9	457.8	903
246.667	520.9	451.5	745
250.000	517.4	442.7	1091
253.333	509.0	443.0	942
256.667	519.0	438.2	921
260.000	505.9	432.5	763
263.333	521.5	443.8	605
266.667	502.8	430.8	810
270.000	511.1	427.2	704
273.333	509.8	432.9	711
276.667	496.3	434.5	411
280.000	508.4	419.7	1044
283.333	511.1	429.9	1847
286.667	511.5	423.6	1274
290.000	503.6	402.5	494
293.333	508.6	395.6	647
296.667	511.5	422.2	1915
300.000	515.3	420.1	1979
303.333	517.1	442.5	1965
306.667	502.1	448.3	1503
310.000	506.1	422.2	941
313.333	505.2	446.3	221
316.667	510.0	456.7	408
320.000	512.3	439.8	236
323.333	510.9	443.2	820
326.667	509.2	437.3	675
330.000	500.4	439.5	375
333.333	512.3	433.1	366
336.667	517.4	441.8	395
340.000	499.4	433.2	951
343.333	512.6	433.8	565
346.667	511.3	430.3	469
350.000	510.5	415.5	809
353.333	512.3	434.1	153
356.667	513.0	433.2	445
360.000	524.0	431.8	1037
363.333	508.0	427.8	564
366.667	503.4	410.2	586
370.000	498.4	407.6	1312
373.333	515.3	447.1	1182
376.667	504.8	435.7	1858
380.000	485.0	431.0	1671
383.333	488.3	425.8	1143
386.667	508.6	460.0	1156
390.000	496.3	452.8	1417
393.333	513.6	461.6	1595
396.667	508.0	432.1	3799
400.000	511.3	442.2	3568
403.333	487.7	395.3	3090
406.667	486.3	390.2	907
410.000	488.6	406.6	2431
413.333	495.4	408.2	5403
416.667	490.4	447.2	7792
420.000	486.5	474.4	9880
423.333	443.9	488.1	11798
426.667	414.7	532.7	12410
430.000	380.0	560.7	12598
433.333	350.8	589.0	10206
436.667	346.4	635.8	8481
440.000	327.9	663.1	5772
443.333	321.0	629.0	4115
446.667	342.5	697.9	2639
450.000	324.1	655.9	1693
453.333	346.0	691.2	2558
456.667	322.4	689.5	1868
460.000	308.9	674.9	2216
463.333	322.2	709.7	757
466.667	344.3	724.4	791
470.000	338.3	694.8	998
473.333	320.6	694.5	2095
476.667	333.1	687.1	2059
480.000	331.0	677.5	656
483.333	330.0	678.3	709
486.667	333.9	678.1	554
490.000	335.0	688.7	1215
493.333	339.6	687.3	1417
496.667	338.3	688.8	1118
500.000	344.3	699.1	868
503.333	341.0	704.2	823
506.667	335.2	698.0	566
510.000	343.3	702.8	79
513.333	336.6	703.8	298
516.667	342.9	703.7	270
520.000	342.5	695.0	359
523.333	340.8	697.8	233
526.667	338.3	696.6	273
530.000	337.3	699.8	590
533.333	342.1	698.7	625
536.667	342.1	708.8	679
540.000	338.9	705.2	719
543.333	336.8	708.4	359
546.667	344.8	709.2	224
550.000	338.1	715.3	547
553.333	342.3	704.2	649
556.667	346.4	707.4	471
560.000	349.2	713.6	811
563.333	345.0	722.7	1087
566.667	336.6	715.7	658
570.000	348.1	727.1	683
573.333	353.1	723.3	608
576.667	353.9	716.7	641
580.000	358.5	720.3	426
583.333	347.3	721.1	1099
586.667	353.7	728.5	1414
590.000	355.6	734.1	863
593.333	353.3	743.1	656
596.667	353.7	741.1	109
600.000	352.1	728.8	341
603.333	350.0	738.9	71
606.667	355.4	727.6	225
610.000	348.5	737.1	723
613.333	355.8	744.0	916
616.667	356.7	736.5	967
620.000	362.1	742.1	624
623.333	366.1	745.8	490
626.667	357.3	748.0	531
630.000	353.9	748.2	197
633.333	359.0	749.4	34
636.667	359.4	746.9	520
640.000	360.6	743.7	431
643.333	361.3	748.4	364
646.667	366.3	756.9	489
650.000	361.7	743.7	426
653.333	366.5	750.1	523
656.667	360.8	758.5	485
660.000	356.0	751.6	833
663.333	363.5	762.5	264
666.667	361.9	757.3	201
670.000	361.5	763.3	302
673.333	365.0	753.1	90
676.667	361.3	759.1	204
680.000	361.7	762.9	340
683.333	363.1	757.4	643
686.667	356.0	760.0	597
690.000	368.1	769.8	301
693.333	369.0	765.8	254
696.667	364.0	769.2	380
700.000	356.5	762.5	765
703.333	371.9	755.2	455
706.667	364.2	761.1	340
710.000	359.4	755.7	1778
713.333	365.2	761.8	3745
716.667	357.9	779.0	5212
720.000	361.9	801.6	6242
723.333	333.3	829.7	5823
726.667	325.6	850.3	3880
730.000	318.1	858.6	1609
733.333	314.9	850.4	979
736.667	336.2	842.6	1576
740.000	327.9	828.0	1255
743.333	336.0	821.1	285
746.667	325.6	836.5	1369
750.000	333.7	843.3	1863
753.333	325.6	850.2	1606
756.667	326.4	861.3	707
760.000	319.3	852.7	287
763.333	319.7	848.7	523
766.667	320.1	846.0	646
770.000	331.0	848.0	727
773.333	328.7	846.3	782
776.667	332.0	853.1	658
780.000	330.8	850.9	259
783.333	335.2	851.5	45
786.667	334.3	852.3	242
790.000	319.5	849.0	214
793.333	336.8	849.6	290
796.667	326.2	857.4	253
800.000	334.3	841.4	221
803.333	324.9	852.0	88
806.667	327.0	846.6	511
810.000	332.7	850.0	777
813.333	337.0	854.6	315
816.667	337.3	852.7	307
820.000	326.6	862.2	665
823.333	331.6	846.4	723
826.667	325.2	854.0	469
830.000	322.4	857.4	480
833.333	327.2	844.3	415
836.667	331.6	849.0	559
840.000	328.9	849.0	274
843.333	335.6	843.8	541
846.667	330.4	852.0	439
850.000	327.4	854.3	480
853.333	333.1	856.2	437
856.667	321.2	849.6	296
860.000	324.7	851.1	339
863.333	328.1	848.3	265
866.667	323.5	857.8	355
870.000	327.9	843.7	307
873.333	326.0	850.3	385
876.667	331.4	850.8	288
880.000	330.6	855.4	680
883.333	328.3	858.0	526
886.667	326.4	854.3	560
890.000	327.9	859.8	577
893.333	331.2	861.0	583
896.667	317.8	857.6	450
900.000	319.5	860.2	171
903.333	324.1	868.1	266
906.667	330.0	862.7	811
910.000	321.6	857.0	1095
913.333	328.1	852.9	1854
916.667	335.6	855.4	4005
920.000	340.0	852.0	7437
923.333	355.4	836.9	11467
926.667	382.5	780.0	15147
930.000	398.2	713.6	17503
933.333	417.6	645.6	17141
936.667	419.9	587.4	14096
940.000	433.2	539.0	11707
943.333	465.4	528.1	11164
946.667	472.9	523.7	11818
950.000	489.4	479.7	NaN
953.333	496.3	403.9	NaN
956.667	490.9	346.5	NaN
960.000	NaN	NaN	NaN
963.333	NaN	NaN	NaN
966.667	NaN	NaN	NaN
970.000	NaN	NaN	NaN
973.333	NaN	NaN	NaN
976.667	NaN	NaN	NaN
980.000	NaN	NaN	NaN
983.333	NaN	NaN	NaN
986.667	NaN	NaN	NaN
990.000	NaN	NaN	NaN
993.333	NaN	NaN	NaN
996.667	NaN	NaN	NaN
1000.000	NaN	NaN	NaN
1003.333	NaN	NaN	NaN
1006.667	NaN	NaN	NaN
1010.000	NaN	NaN	NaN
1013.333	NaN	NaN	NaN
1016.667	NaN	NaN	NaN
1020.000	NaN	NaN	NaN
1023.333	NaN	NaN	NaN
1026.667	NaN	NaN	NaN
1030.000	NaN	NaN	NaN
1033.333	NaN	NaN	NaN
1036.667	NaN	NaN	NaN
1040.000	NaN	NaN	NaN
1043.333	NaN	NaN	NaN
1046.667	NaN	NaN	NaN
1050.000	NaN	NaN	NaN
1053.333	NaN	NaN	NaN
1056.667	NaN	NaN	NaN
1060.000	NaN	NaN	NaN
1063.333	NaN	NaN	NaN
1066.667	NaN	NaN	NaN
1070.000	NaN	NaN	NaN
1073.333	NaN	NaN	NaN
1076.667	NaN	NaN	NaN
1080.000	NaN	NaN	NaN
1083.333	NaN	NaN	NaN
1086.667	NaN	NaN	NaN
1090.000	NaN	NaN	NaN
1093.333	NaN	NaN	NaN
1096.667	NaN	NaN	NaN
1100.000	NaN	NaN	NaN
1103.333	NaN	NaN	NaN
1106.667	NaN	NaN	NaN
1110.000	NaN	NaN	NaN
1113.333	NaN	NaN	NaN
1116.667	NaN	NaN	NaN
1120.000	NaN	NaN	NaN
1123.333	NaN	NaN	NaN
1126.667	NaN	NaN	NaN
1130.000	NaN	NaN	NaN
1133.333	NaN	NaN	NaN
1136.667	NaN	NaN	NaN
1140.000	NaN	NaN	NaN
1143.333	NaN	NaN	NaN
1146.667	NaN	NaN	NaN
1150.000	NaN	NaN	NaN
1153.333	NaN	NaN	NaN
1156.667	NaN	NaN	NaN
1160.000	NaN	NaN	NaN
1163.333	NaN	NaN	NaN
1166.667	NaN	NaN	NaN
1170.000	NaN	NaN	NaN
1173.333	NaN	NaN	NaN
1176.667	NaN	NaN	NaN
1180.000	NaN	NaN	NaN
1183.333	NaN	NaN	NaN
1186.667	NaN	NaN	NaN
1190.000	NaN	NaN	NaN
1193.333	NaN	NaN	NaN
1196.667	NaN	NaN	NaN
1200.000	NaN	NaN	NaN
1203.333	NaN	NaN	NaN
1206.667	NaN	NaN	NaN
1210.000	NaN	NaN	NaN
1213.333	NaN	NaN	NaN
1216.667	NaN	NaN	NaN
1220.000	NaN	NaN	NaN
1223.333	NaN	NaN	NaN
1226.667	NaN	NaN	NaN
1230.000	NaN	NaN	NaN
1233.333	NaN	NaN	NaN
1236.667	NaN	NaN	NaN
1240.000	NaN	NaN	NaN
1243.333	NaN	NaN	NaN
1246.667	NaN	NaN	NaN
1250.000	NaN	NaN	NaN
1253.333	NaN	NaN	NaN
1256.667	NaN	NaN	NaN
1260.000	NaN	NaN	NaN
1263.333	NaN	NaN	NaN
1266.667	NaN	NaN	NaN
1270.000	NaN	NaN	NaN
1273.333	NaN	NaN	NaN
1276.667	NaN	NaN	NaN
1280.000	NaN	NaN	NaN
1283.333	NaN	NaN	NaN
1286.667	NaN	NaN	NaN
1290.000	NaN	NaN	NaN
1293.333	NaN	NaN	NaN
1296.667	NaN	NaN	NaN
1300.000	NaN	NaN	NaN
1303.333	NaN	NaN	NaN
1306.667	NaN	NaN	NaN
1310.000	NaN	NaN	NaN
1313.333	NaN	NaN	NaN
1316.667	NaN	NaN	NaN
1320.000	NaN	NaN	NaN
1323.333	NaN	NaN	NaN
1326.667	NaN	NaN	NaN
1330.000	NaN	NaN	NaN
1333.333	NaN	NaN	NaN
1336.667	NaN	NaN	NaN
1340.000	NaN	NaN	NaN
1343.333	NaN	NaN	NaN
1346.667	NaN	NaN	NaN
1350.000	NaN	NaN	NaN
1353.333	NaN	NaN	NaN
1356.667	NaN	NaN	NaN
1360.000	NaN	NaN	NaN
1363.333	NaN	NaN	NaN
1366.667	NaN	NaN	NaN
1370.000	NaN	NaN	NaN
1373.333	NaN	NaN	NaN
1376.667	NaN	NaN	NaN
1380.000	NaN	NaN	NaN
1383.333	NaN	NaN	NaN
1386.667	NaN	NaN	NaN
1390.000	NaN	NaN	NaN
1393.333	NaN	NaN	NaN
1396.667	NaN	NaN	NaN
1400.000	NaN	NaN	NaN
1403.333	NaN	NaN	NaN
1406.667	NaN	NaN	NaN
1410.000	NaN	NaN	NaN
1413.333	NaN	NaN	NaN
1416.667	NaN	NaN	NaN
1420.000	NaN	NaN	NaN
1423.333	NaN	NaN	NaN
1426.667	NaN	NaN	NaN
1430.000	NaN	NaN	NaN
1433.333	NaN	NaN	NaN
1436.667	NaN	NaN	NaN
1440.000	NaN	NaN	NaN
1443.333	NaN	NaN	NaN
1446.667	NaN	NaN	NaN
1450.000	NaN	NaN	NaN
1453.333	NaN	NaN	NaN
1456.667	NaN	NaN	NaN
1460.000	NaN	NaN	NaN
1463.333	NaN	NaN	NaN
1466.667	NaN	NaN	NaN
1470.000	NaN	NaN	NaN
1473.333	NaN	NaN	NaN
1476.667	NaN	NaN	NaN
1480.000	NaN	NaN	NaN
1483.333	NaN	NaN	NaN
1486.667	NaN	NaN	NaN
1490.000	NaN	NaN	NaN
1493.333	NaN	NaN	NaN
