time	x	y	v
0.000	966.3	556.0	301
3.333	956.4	557.9	301
6.667	959.8	559.2	301
10.000	963.5	568.0	301
13.333	961.7	559.5	268
16.667	956.4	552.9	586
20.000	956.7	556.5	750
23.333	962.1	556.5	335
26.667	951.6	553.2	386
30.000	950.0	556.5	190
33.333	957.5	560.4	181
36.667	960.8	562.2	192
40.000	950.8	546.9	147
43.333	954.2	561.7	214
46.667	951.2	560.2	161
50.000	953.9	560.6	700
53.333	956.4	553.5	153
56.667	958.7	563.0	349
60.000	953.9	568.6	336
63.333	955.0	557.6	128
66.667	959.0	564.7	135
70.000	959.0	563.7	395
73.333	956.4	557.8	291
76.667	956.9	564.2	151
80.000	965.0	562.2	210
83.333	960.2	562.4	210
86.667	959.6	562.0	330
90.000	949.2	561.2	381
93.333	957.1	562.1	346
96.667	955.6	563.8	330
100.000	958.5	566.9	243
103.333	948.1	558.1	427
106.667	949.8	560.7	515
110.000	949.1	563.7	477
113.333	951.2	565.9	374
116.667	944.3	560.3	206
120.000	945.8	562.4	219
123.333	950.8	569.7	269
126.667	947.9	563.8	434
130.000	947.1	568.5	186
133.333	955.2	565.1	51
136.667	951.0	565.5	181
140.000	947.3	568.8	299
143.333	949.4	565.8	209
146.667	952.3	568.8	585
150.000	958.5	568.6	847
153.333	955.0	563.5	644
156.667	961.0	569.8	359
160.000	963.3	577.6	428
163.333	958.5	569.9	286
166.667	955.4	572.8	869
170.000	955.8	575.3	780
173.333	953.3	565.7	278
176.667	942.9	567.2	131
180.000	953.9	568.7	277
183.333	955.2	576.5	459
186.667	959.6	570.3	320
190.000	955.8	571.3	379
193.333	952.3	573.0	317
196.667	953.7	567.0	181
200.000	946.4	569.8	195
203.333	956.9	572.3	468
206.667	956.5	574.5	521
210.000	952.5	574.7	458
213.333	947.9	580.8	253
216.667	951.0	574.8	225
220.000	953.3	580.3	197
223.333	953.3	573.0	393
226.667	951.2	582.0	303
230.000	950.6	568.4	699
233.333	945.2	572.8	326
236.667	949.2	576.3	268
240.000	942.3	566.0	365
243.333	949.8	578.4	649
246.667	948.3	570.5	644
250.000	950.0	580.5	801
253.333	956.2	583.6	434
256.667	957.3	573.9	198
260.000	955.4	578.6	145
263.333	953.9	582.8	113
266.667	951.6	573.3	263
270.000	950.4	582.1	157
273.333	958.7	579.0	291
276.667	949.2	578.0	348
280.000	952.7	576.3	162
283.333	944.4	581.6	384
286.667	948.9	581.0	298
290.000	953.9	581.5	503
293.333	945.2	577.7	424
296.667	942.0	578.6	238
300.000	940.2	576.5	126
303.333	943.3	578.1	739
306.667	950.2	582.9	885
310.000	947.3	580.9	2134
313.333	951.2	593.0	3890
316.667	930.4	594.0	5285
320.000	915.8	620.4	5957
323.333	893.6	641.1	5770
326.667	884.4	652.6	5024
330.000	894.9	675.2	3585
333.333	904.7	688.5	2210
336.667	905.7	690.2	1291
340.000	897.2	687.1	688
343.333	897.4	680.0	1025
346.667	894.0	689.1	1186
350.000	887.8	691.2	1079
353.333	886.8	695.2	1169
356.667	882.6	697.2	702
360.000	890.3	701.1	459
363.333	897.6	706.1	294
