time	x	y	v
0.000	961.7	519.9	836
3.333	965.4	523.3	836
6.667	969.8	520.8	836
10.000	960.4	520.0	836
13.333	962.7	531.3	518
16.667	974.6	538.6	281
20.000	966.3	530.8	458
23.333	970.2	524.8	325
26.667	970.4	520.5	910
30.000	970.9	530.9	536
33.333	964.6	529.7	547
36.667	974.0	509.0	403
40.000	968.8	521.9	114
43.333	968.8	514.2	601
46.667	967.9	522.0	973
50.000	971.9	531.1	663
53.333	965.6	533.6	481
56.667	973.8	525.7	459
60.000	977.5	527.6	549
63.333	970.8	524.2	689
66.667	969.8	515.3	667
70.000	972.1	526.9	596
73.333	957.3	519.2	274
76.667	966.9	524.6	502
80.000	965.8	524.0	172
83.333	969.2	513.1	655
86.667	968.8	538.5	107
90.000	968.3	520.6	153
93.333	967.5	533.4	240
96.667	967.9	513.0	738
100.000	968.6	530.3	394
103.333	963.5	516.7	667
106.667	963.5	520.7	376
110.000	962.3	520.9	291
113.333	961.9	513.8	240
116.667	961.3	525.2	331
120.000	965.4	519.5	265
123.333	961.9	523.5	25
126.667	966.3	526.6	160
130.000	965.2	518.5	255
133.333	958.7	515.2	110
136.667	965.8	524.9	94
140.000	958.5	526.3	404
143.333	965.8	524.8	421
146.667	963.5	520.1	252
150.000	961.3	527.8	158
153.333	968.4	525.2	254
156.667	968.3	526.2	695
160.000	959.6	521.6	528
163.333	967.1	532.1	394
166.667	972.1	537.8	159
170.000	964.8	532.9	111
173.333	972.1	526.3	368
176.667	962.9	527.3	572
180.000	965.6	527.3	195
183.333	966.5	531.0	115
186.667	963.6	523.7	115
190.000	965.8	528.3	210
193.333	968.1	524.4	142
196.667	964.4	528.0	244
200.000	965.2	522.5	175
203.333	963.5	535.6	134
206.667	962.7	526.3	216
210.000	971.1	529.8	109
213.333	967.7	524.6	440
216.667	966.7	530.2	527
220.000	964.6	525.7	516
223.333	962.5	522.2	777
226.667	961.9	516.5	1239
230.000	961.3	532.3	922
233.333	964.2	503.4	39
236.667	956.9	504.6	520
240.000	963.6	513.4	797
243.333	963.3	532.3	1369
246.667	974.0	522.5	1192
250.000	971.1	526.9	823
253.333	972.7	522.3	381
256.667	969.6	530.8	316
260.000	978.0	532.5	745
263.333	968.4	533.6	583
266.667	966.5	521.0	732
270.000	957.9	511.9	998
273.333	971.9	525.5	735
276.667	966.3	522.7	318
280.000	960.0	512.8	841
283.333	961.2	514.4	1014
286.667	962.5	531.6	1182
290.000	968.8	536.7	1242
293.333	961.2	540.4	133
296.667	962.1	533.6	650
300.000	967.9	534.8	903
303.333	962.9	516.0	881
306.667	962.5	527.0	566
310.000	961.2	524.1	779
313.333	963.5	522.0	189
316.667	967.3	522.0	623
320.000	958.5	509.1	545
323.333	969.0	526.6	208
326.667	959.0	510.3	288
330.000	962.3	513.4	171
333.333	973.1	527.0	510
336.667	965.4	521.4	258
340.000	961.5	506.6	350
343.333	970.0	510.9	211
346.667	965.8	519.3	603
350.000	975.0	527.7	1423
353.333	960.2	522.8	1143
356.667	966.7	523.7	679
360.000	975.0	540.2	563
363.333	968.1	533.8	192
366.667	968.4	530.3	889
370.000	964.4	536.2	1397
373.333	959.6	513.6	1372
376.667	960.2	519.6	2503
380.000	948.9	528.6	3806
383.333	940.0	536.5	5282
386.667	912.6	543.3	6436
390.000	891.3	551.3	6824
393.333	870.5	560.7	7380
396.667	841.5	564.4	7788
400.000	824.8	564.0	8345
403.333	788.5	555.7	8991
406.667	756.9	576.6	9342
410.000	727.5	579.0	9304
413.333	691.0	576.0	8413
416.667	661.4	572.6	7373
420.000	643.2	578.6	6175
423.333	626.3	586.2	4633
426.667	610.9	576.2	3702
430.000	600.8	584.8	2766
433.333	598.1	570.2	1571
436.667	585.2	569.6	976
440.000	591.4	570.9	788
443.333	598.7	578.0	508
446.667	585.6	571.4	178
450.000	582.0	571.9	459
453.333	586.4	568.0	779
456.667	588.7	572.6	243
460.000	583.5	575.3	475
463.333	575.0	566.9	585
466.667	583.9	574.2	724
470.000	577.7	580.1	608
473.333	582.7	578.0	567
476.667	577.7	586.3	571
480.000	576.6	579.2	755
483.333	574.7	578.3	660
486.667	571.0	569.7	369
490.000	567.7	574.2	240
493.333	574.7	577.2	499
496.667	583.5	577.8	931
500.000	575.8	581.0	399
503.333	580.2	576.3	30
506.667	584.8	585.3	424
510.000	574.5	568.8	496
513.333	578.3	581.0	602
516.667	572.0	574.3	595
520.000	570.6	575.2	191
523.333	574.7	571.2	334
526.667	573.9	572.8	117
530.000	570.8	573.7	269
533.333	576.0	572.1	399
536.667	566.0	575.7	124
540.000	567.4	571.4	124
543.333	570.8	579.1	124
546.667	573.1	570.7	124
