Trial	datum	FixStart	FixEnd	FixDur
infant_4605609553565853524	10-Nov-2016 10:43:24	0.00	446.67	447
infant_4605609553565853524	10-Nov-2016 10:43:24	483.33	750.00	750
infant_4605609553565853524	10-Nov-2016 10:43:24	790.00	1213.33	1213
infant_4605609553565853524	10-Nov-2016 10:43:24	1250.00	2293.33	2293
infant_4605609553565853524	10-Nov-2016 10:43:24	2370.00	2773.33	2773
infant_4605609553565853524	10-Nov-2016 10:43:24	2813.33	3170.00	3170
infant_4605609553565853524	10-Nov-2016 10:43:24	3236.67	3613.33	3613
infant_4605609553565853524	10-Nov-2016 10:43:24	3653.33	4010.00	4010
infant_4605410513238776168	10-Nov-2016 10:35:04	0.00	396.67	397
infant_4605410513238776168	10-Nov-2016 10:35:04	556.67	690.00	690
infant_4605410513238776168	10-Nov-2016 10:35:04	810.00	1020.00	1020
infant_4605410513238776168	10-Nov-2016 10:35:04	1073.33	1423.33	1423
infant_4605410513238776168	10-Nov-2016 10:35:04	1873.33	2346.67	2347
infant_4605410513238776168	10-Nov-2016 10:35:04	2736.67	2993.33	2993
infant_4605410513238776168	10-Nov-2016 10:35:04	3053.33	3480.00	3480
infant_4604872544363843626	10-Nov-2016 10:34:24	0.00	60.00	60
infant_4604872544363843626	10-Nov-2016 10:34:24	96.67	343.33	343
infant_4604872544363843626	10-Nov-2016 10:34:24	390.00	520.00	520
infant_4595653501593606004	10-Nov-2016 10:53:30	0.00	330.00	330
infant_4595653501593606004	10-Nov-2016 10:53:30	400.00	786.67	787
infant_4595653501593606004	10-Nov-2016 10:53:30	826.67	1123.33	1123
infant_4595653501593606004	10-Nov-2016 10:53:30	1186.67	1790.00	1790
infant_4595653501593606004	10-Nov-2016 10:53:30	1856.67	3083.33	3083
infant_4595653501593606004	10-Nov-2016 10:53:30	3213.33	3626.67	3627
infant_4591350692076781768	10-Nov-2016 10:58:44	0.00	476.67	477
infant_4591350692076781768	10-Nov-2016 10:58:44	583.33	813.33	813
infant_4591350692076781768	10-Nov-2016 10:58:44	853.33	943.33	943
infant_4591350692076781768	10-Nov-2016 10:58:44	993.33	1166.67	1167
infant_4591350692076781768	10-Nov-2016 10:58:44	1476.67	1886.67	1887
infant_4591350692076781768	10-Nov-2016 10:58:44	1903.33	1973.33	1973
infant_4591350692076781768	10-Nov-2016 10:58:44	2056.67	2510.00	2510
infant_4591350692076781768	10-Nov-2016 10:58:44	2570.00	2856.67	2857
infant_4585006770229471040	10-Nov-2016 10:42:38	93.33	550.00	550
infant_4585006770229471040	10-Nov-2016 10:42:38	600.00	1060.00	1060
infant_4585006770229471040	10-Nov-2016 10:42:38	1746.67	1833.33	1833
infant_4590914421796899792	10-Nov-2016 10:34:40	0.00	66.67	67
infant_4590914421796899792	10-Nov-2016 10:34:40	126.67	453.33	453
infant_4590914421796899792	10-Nov-2016 10:34:40	906.67	1200.00	1200
infant_4590914421796899792	10-Nov-2016 10:34:40	1240.00	1543.33	1543
infant_4590914421796899792	10-Nov-2016 10:34:40	2970.00	3296.67	3297
infant_4606305162693909260	10-Nov-2016 10:57:14	46.67	246.67	247
infant_4606305162693909260	10-Nov-2016 10:57:14	290.00	546.67	547
infant_4606305162693909260	10-Nov-2016 10:57:14	590.00	753.33	753
infant_4606305162693909260	10-Nov-2016 10:57:14	2163.33	2283.33	2283
infant_4606305162693909260	10-Nov-2016 10:57:14	2343.33	2796.67	2797
infant_4606305162693909260	10-Nov-2016 10:57:14	2856.67	3246.67	3247
infant_4606305162693909260	10-Nov-2016 10:57:14	3276.67	3390.00	3390
infant_4606305162693909260	10-Nov-2016 10:57:14	3500.00	3643.33	3643
infant_4606305162693909260	10-Nov-2016 10:57:14	3693.33	3846.67	3847
infant_4599348903986769270	10-Nov-2016 11:18:32	20.00	283.33	283
infant_4599348903986769270	10-Nov-2016 11:18:32	356.67	460.00	460
infant_4599348903986769270	10-Nov-2016 11:18:32	816.67	1693.33	1693
infant_4599348903986769270	10-Nov-2016 11:18:32	1756.67	2270.00	2270
infant_4603997294600609666	10-Nov-2016 10:58:12	0.00	550.00	550
infant_4603997294600609666	10-Nov-2016 10:58:12	610.00	776.67	777
infant_4601213487207749474	10-Nov-2016 10:52:54	2740.00	2923.33	2923
infant_4597078871350441716	10-Nov-2016 10:38:48	83.33	353.33	353
infant_4597078871350441716	10-Nov-2016 10:38:48	396.67	763.33	763
infant_4597078871350441716	10-Nov-2016 10:38:48	883.33	1153.33	1153
infant_4597078871350441716	10-Nov-2016 10:38:48	1203.33	1426.67	1427
infant_4605790343889806556	10-Nov-2016 11:22:12	93.33	430.00	430
infant_4605790343889806556	10-Nov-2016 11:22:12	490.00	653.33	653
infant_4605026287769552265	10-Nov-2016 10:33:02	333.33	456.67	457
infant_4607158533597356135	10-Nov-2016 09:07:34	26.67	370.00	370
infant_4607158533597356135	10-Nov-2016 09:07:34	410.00	616.67	617
infant_4604414452347604331	10-Nov-2016 10:37:44	0.00	253.33	253
infant_4604414452347604331	10-Nov-2016 10:37:44	306.67	1890.00	1890
infant_4607024019025466472	10-Nov-2016 10:33:52	0.00	150.00	150
infant_4607024019025466472	10-Nov-2016 10:33:52	543.33	656.67	657
infant_4607024019025466472	10-Nov-2016 10:33:52	2306.67	2563.33	2563
infant_4604520769739043253	10-Nov-2016 09:10:02	0.00	383.33	383
infant_4604520769739043253	10-Nov-2016 09:10:02	426.67	980.00	980
infant_4604520769739043253	10-Nov-2016 09:10:02	1070.00	1370.00	1370
infant_4604520769739043253	10-Nov-2016 09:10:02	1460.00	1690.00	1690
infant_4604520769739043253	10-Nov-2016 09:10:02	1760.00	2073.33	2073
infant_4604520769739043253	10-Nov-2016 09:10:02	2136.67	2560.00	2560
infant_4606498067956522852	10-Nov-2016 10:53:10	0.00	363.33	363
infant_4606498067956522852	10-Nov-2016 10:53:10	436.67	546.67	547
infant_4593374168856434128	10-Nov-2016 10:42:58	0.00	590.00	590
