Trial	datum	FixStart	FixEnd	FixDur
4606088225108498269	19-Oct-2016 17:13:58	0.00	450.00	450
4606088225108498269	19-Oct-2016 17:13:58	476.67	760.00	760
4606088225108498269	19-Oct-2016 17:13:58	776.67	1220.00	1220
4606088225108498269	19-Oct-2016 17:13:58	1236.67	2296.67	2297
4606088225108498269	19-Oct-2016 17:13:58	2373.33	2780.00	2780
4606088225108498269	19-Oct-2016 17:13:58	2806.67	3176.67	3177
4606088225108498269	19-Oct-2016 17:13:58	3236.67	3626.67	3627
4606088225108498269	19-Oct-2016 17:13:58	3643.33	4010.00	4010
4605710200116761188	19-Oct-2016 17:20:24	3.33	400.00	400
4605710200116761188	19-Oct-2016 17:20:24	543.33	686.67	687
4605710200116761188	19-Oct-2016 17:20:24	803.33	1023.33	1023
4605710200116761188	19-Oct-2016 17:20:24	1066.67	1426.67	1427
4605710200116761188	19-Oct-2016 17:20:24	1646.67	1803.33	1803
4605710200116761188	19-Oct-2016 17:20:24	1863.33	2350.00	2350
4605710200116761188	19-Oct-2016 17:20:24	2740.00	2996.67	2997
4605710200116761188	19-Oct-2016 17:20:24	3053.33	3480.00	3480
4600307505485708974	19-Oct-2016 16:24:04	0.00	60.00	60
4600307505485708974	19-Oct-2016 16:24:04	96.67	350.00	350
4600307505485708974	19-Oct-2016 16:24:04	386.67	520.00	520
4600582811275982168	19-Oct-2016 17:20:48	3.33	333.33	333
4600582811275982168	19-Oct-2016 17:20:48	396.67	790.00	790
4600582811275982168	19-Oct-2016 17:20:48	820.00	1133.33	1133
4600582811275982168	19-Oct-2016 17:20:48	1186.67	1786.67	1787
4600582811275982168	19-Oct-2016 17:20:48	1850.00	3093.33	3093
4600582811275982168	19-Oct-2016 17:20:48	3220.00	3626.67	3627
4603509025321189282	19-Oct-2016 17:18:40	0.00	473.33	473
4603509025321189282	19-Oct-2016 17:18:40	590.00	823.33	823
4603509025321189282	19-Oct-2016 17:18:40	853.33	953.33	953
4603509025321189282	19-Oct-2016 17:18:40	993.33	1156.67	1157
4603509025321189282	19-Oct-2016 17:18:40	1480.00	1880.00	1880
4603509025321189282	19-Oct-2016 17:18:40	1903.33	1963.33	1963
4603509025321189282	19-Oct-2016 17:18:40	2050.00	2513.33	2513
4603509025321189282	19-Oct-2016 17:18:40	2573.33	2853.33	2853
4603509025321189282	19-Oct-2016 17:18:40	3950.00	4010.00	4010
4605110261562327531	19-Oct-2016 16:45:28	0.00	76.67	77
4605110261562327531	19-Oct-2016 16:45:28	86.67	553.33	553
4605110261562327531	19-Oct-2016 16:45:28	593.33	1060.00	1060
4605110261562327531	19-Oct-2016 16:45:28	1753.33	1836.67	1837
4605110261562327531	19-Oct-2016 16:45:28	1883.33	1906.67	1907
4603160733441595155	19-Oct-2016 17:13:06	0.00	70.00	70
4603160733441595155	19-Oct-2016 17:13:06	113.33	450.00	450
4603160733441595155	19-Oct-2016 17:13:06	910.00	1210.00	1210
4603160733441595155	19-Oct-2016 17:13:06	1233.33	1546.67	1547
4603160733441595155	19-Oct-2016 17:13:06	2976.67	3290.00	3290
4604609825256997362	19-Oct-2016 16:23:26	0.00	246.67	247
4604609825256997362	19-Oct-2016 16:23:26	300.00	543.33	543
4604609825256997362	19-Oct-2016 16:23:26	586.67	743.33	743
4604609825256997362	19-Oct-2016 16:23:26	2153.33	2283.33	2283
4604609825256997362	19-Oct-2016 16:23:26	2350.00	2790.00	2790
