Trial	datum	FixStart	FixEnd	FixDur
infant_4605609553565853524	07-Nov-2016 17:03:14	0.00	440.00	440
infant_4605609553565853524	07-Nov-2016 17:03:14	483.33	750.00	750
infant_4605609553565853524	07-Nov-2016 17:03:14	786.67	880.00	880
infant_4605609553565853524	07-Nov-2016 17:03:14	950.00	1210.00	1210
infant_4605609553565853524	07-Nov-2016 17:03:14	1270.00	2290.00	2290
infant_4605609553565853524	07-Nov-2016 17:03:14	2383.33	2766.67	2767
infant_4605609553565853524	07-Nov-2016 17:03:14	2813.33	3170.00	3170
infant_4605609553565853524	07-Nov-2016 17:03:14	3260.00	3616.67	3617
infant_4605609553565853524	07-Nov-2016 17:03:14	3653.33	4010.00	4010
infant_4605410513238776168	07-Nov-2016 16:20:00	0.00	396.67	397
infant_4605410513238776168	07-Nov-2016 16:20:00	556.67	676.67	677
infant_4605410513238776168	07-Nov-2016 16:20:00	806.67	1020.00	1020
infant_4605410513238776168	07-Nov-2016 16:20:00	1076.67	1423.33	1423
infant_4605410513238776168	07-Nov-2016 16:20:00	1863.33	2340.00	2340
infant_4605410513238776168	07-Nov-2016 16:20:00	2763.33	2986.67	2987
infant_4605410513238776168	07-Nov-2016 16:20:00	3053.33	3476.67	3477
infant_4604872544363843626	07-Nov-2016 16:33:22	0.00	46.67	47
infant_4604872544363843626	07-Nov-2016 16:33:22	100.00	343.33	343
infant_4604872544363843626	07-Nov-2016 16:33:22	393.33	520.00	520
infant_4595653501593606004	07-Nov-2016 16:08:58	0.00	326.67	327
infant_4595653501593606004	07-Nov-2016 16:08:58	403.33	790.00	790
infant_4595653501593606004	07-Nov-2016 16:08:58	826.67	1120.00	1120
infant_4595653501593606004	07-Nov-2016 16:08:58	1186.67	1510.00	1510
infant_4595653501593606004	07-Nov-2016 16:08:58	1550.00	1783.33	1783
infant_4595653501593606004	07-Nov-2016 16:08:58	1900.00	3070.00	3070
infant_4595653501593606004	07-Nov-2016 16:08:58	3213.33	3623.33	3623
infant_4591350692076781768	07-Nov-2016 17:06:50	3.33	456.67	457
infant_4591350692076781768	07-Nov-2016 17:06:50	600.00	766.67	767
infant_4591350692076781768	07-Nov-2016 17:06:50	860.00	936.67	937
infant_4591350692076781768	07-Nov-2016 17:06:50	2056.67	2506.67	2507
infant_4591350692076781768	07-Nov-2016 17:06:50	2583.33	2840.00	2840
infant_4585006770229471040	07-Nov-2016 17:11:02	100.00	536.67	537
infant_4585006770229471040	07-Nov-2016 17:11:02	596.67	1050.00	1050
infant_4590914421796899792	07-Nov-2016 16:35:32	0.00	60.00	60
infant_4590914421796899792	07-Nov-2016 16:35:32	146.67	450.00	450
infant_4590914421796899792	07-Nov-2016 16:35:32	896.67	1533.33	1533
infant_4590914421796899792	07-Nov-2016 16:35:32	2973.33	3296.67	3297
infant_4606305162693909260	07-Nov-2016 16:35:08	26.67	240.00	240
infant_4606305162693909260	07-Nov-2016 16:35:08	300.00	533.33	533
infant_4606305162693909260	07-Nov-2016 16:35:08	596.67	746.67	747
infant_4606305162693909260	07-Nov-2016 16:35:08	2343.33	2793.33	2793
infant_4606305162693909260	07-Nov-2016 16:35:08	2856.67	3240.00	3240
infant_4599348903986769270	07-Nov-2016 16:22:56	0.00	283.33	283
infant_4599348903986769270	07-Nov-2016 16:22:56	893.33	1693.33	1693
infant_4599348903986769270	07-Nov-2016 16:22:56	1760.00	2270.00	2270
infant_4603997294600609666	07-Nov-2016 17:06:18	0.00	546.67	547
infant_4603997294600609666	07-Nov-2016 17:06:18	616.67	786.67	787
infant_4601213487207749474	07-Nov-2016 16:28:18	2756.67	2923.33	2923
infant_4597078871350441716	07-Nov-2016 16:47:56	0.00	360.00	360
infant_4597078871350441716	07-Nov-2016 16:47:56	403.33	743.33	743
infant_4597078871350441716	07-Nov-2016 16:47:56	820.00	1156.67	1157
infant_4605790343889806556	07-Nov-2016 16:12:54	86.67	433.33	433
infant_4605790343889806556	07-Nov-2016 16:12:54	503.33	653.33	653
infant_4605026287769552265	07-Nov-2016 16:58:32	336.67	466.67	467
infant_4607158533597356135	07-Nov-2016 16:32:00	30.00	376.67	377
infant_4607158533597356135	07-Nov-2016 16:32:00	416.67	623.33	623
infant_4604414452347604331	07-Nov-2016 16:20:42	76.67	253.33	253
infant_4604414452347604331	07-Nov-2016 16:20:42	310.00	1003.33	1003
infant_4604414452347604331	07-Nov-2016 16:20:42	1046.67	1843.33	1843
infant_4607024019025466472	07-Nov-2016 16:33:04	0.00	156.67	157
infant_4607024019025466472	07-Nov-2016 16:33:04	2370.00	2563.33	2563
infant_4604520769739043253	07-Nov-2016 16:26:46	0.00	380.00	380
infant_4604520769739043253	07-Nov-2016 16:26:46	423.33	983.33	983
infant_4604520769739043253	07-Nov-2016 16:26:46	1073.33	1363.33	1363
infant_4604520769739043253	07-Nov-2016 16:26:46	1463.33	1683.33	1683
infant_4604520769739043253	07-Nov-2016 16:26:46	1773.33	2086.67	2087
infant_4604520769739043253	07-Nov-2016 16:26:46	2126.67	2413.33	2413
infant_4604520769739043253	07-Nov-2016 16:26:46	2460.00	2560.00	2560
infant_4606498067956522852	07-Nov-2016 16:36:48	0.00	366.67	367
infant_4606498067956522852	07-Nov-2016 16:36:48	446.67	546.67	547
infant_4593374168856434128	07-Nov-2016 16:32:48	0.00	573.33	573
infant_4593374168856434128	07-Nov-2016 16:32:48	653.33	1566.67	1567
infant_4593374168856434128	07-Nov-2016 16:32:48	2043.33	2200.00	2200
infant_4593374168856434128	07-Nov-2016 16:32:48	2263.33	2586.67	2587
infant_4593374168856434128	07-Nov-2016 16:32:48	2646.67	3013.33	3013
infant_4593374168856434128	07-Nov-2016 16:32:48	3066.67	3900.00	3900
infant_4598723594691913910	07-Nov-2016 16:10:32	0.00	310.00	310
infant_4598723594691913910	07-Nov-2016 16:10:32	363.33	713.33	713
infant_4598723594691913910	07-Nov-2016 16:10:32	856.67	1120.00	1120
infant_4598723594691913910	07-Nov-2016 16:10:32	1196.67	1823.33	1823
infant_4598723594691913910	07-Nov-2016 16:10:32	1893.33	2233.33	2233
