Trial	datum	FixStart	FixEnd	FixDur
infant_4605609553565853524	07-Nov-2016 15:17:26	0.00	436.67	437
infant_4605609553565853524	07-Nov-2016 15:17:26	483.33	633.33	633
infant_4605609553565853524	07-Nov-2016 15:17:26	666.67	693.33	693
infant_4605609553565853524	07-Nov-2016 15:17:26	716.67	746.67	747
infant_4605609553565853524	07-Nov-2016 15:17:26	786.67	883.33	883
infant_4605609553565853524	07-Nov-2016 15:17:26	923.33	1213.33	1213
infant_4605609553565853524	07-Nov-2016 15:17:26	1276.67	2286.67	2287
infant_4605609553565853524	07-Nov-2016 15:17:26	2386.67	2773.33	2773
infant_4605609553565853524	07-Nov-2016 15:17:26	2813.33	3173.33	3173
infant_4605609553565853524	07-Nov-2016 15:17:26	3260.00	3613.33	3613
infant_4605609553565853524	07-Nov-2016 15:17:26	3660.00	4010.00	4010
infant_4605410513238776168	07-Nov-2016 14:57:34	0.00	386.67	387
infant_4605410513238776168	07-Nov-2016 14:57:34	560.00	676.67	677
infant_4605410513238776168	07-Nov-2016 14:57:34	830.00	863.33	863
infant_4605410513238776168	07-Nov-2016 14:57:34	930.00	1016.67	1017
infant_4605410513238776168	07-Nov-2016 14:57:34	1073.33	1410.00	1410
infant_4605410513238776168	07-Nov-2016 14:57:34	1886.67	2343.33	2343
infant_4605410513238776168	07-Nov-2016 14:57:34	2776.67	3000.00	3000
infant_4605410513238776168	07-Nov-2016 14:57:34	3083.33	3473.33	3473
infant_4604872544363843626	07-Nov-2016 14:51:58	0.00	50.00	50
infant_4604872544363843626	07-Nov-2016 14:51:58	113.33	340.00	340
infant_4604872544363843626	07-Nov-2016 14:51:58	413.33	520.00	520
infant_4595653501593606004	07-Nov-2016 15:16:36	0.00	320.00	320
infant_4595653501593606004	07-Nov-2016 15:16:36	416.67	776.67	777
infant_4595653501593606004	07-Nov-2016 15:16:36	830.00	900.00	900
infant_4595653501593606004	07-Nov-2016 15:16:36	953.33	1103.33	1103
infant_4595653501593606004	07-Nov-2016 15:16:36	1216.67	1523.33	1523
infant_4595653501593606004	07-Nov-2016 15:16:36	1556.67	1773.33	1773
infant_4595653501593606004	07-Nov-2016 15:16:36	1893.33	3066.67	3067
infant_4595653501593606004	07-Nov-2016 15:16:36	3223.33	3606.67	3607
infant_4591350692076781768	07-Nov-2016 15:09:14	0.00	56.67	57
infant_4591350692076781768	07-Nov-2016 15:09:14	86.67	463.33	463
infant_4591350692076781768	07-Nov-2016 15:09:14	600.00	770.00	770
infant_4591350692076781768	07-Nov-2016 15:09:14	796.67	810.00	810
infant_4591350692076781768	07-Nov-2016 15:09:14	853.33	940.00	940
infant_4591350692076781768	07-Nov-2016 15:09:14	1000.00	1150.00	1150
infant_4591350692076781768	07-Nov-2016 15:09:14	1493.33	1860.00	1860
infant_4591350692076781768	07-Nov-2016 15:09:14	2086.67	2503.33	2503
infant_4591350692076781768	07-Nov-2016 15:09:14	2603.33	2830.00	2830
infant_4591350692076781768	07-Nov-2016 15:09:14	2900.00	2913.33	2913
infant_4591350692076781768	07-Nov-2016 15:09:14	3953.33	3973.33	3973
infant_4585006770229471040	07-Nov-2016 14:59:26	86.67	540.00	540
infant_4585006770229471040	07-Nov-2016 14:59:26	616.67	1050.00	1050
infant_4585006770229471040	07-Nov-2016 14:59:26	1750.00	1830.00	1830
infant_4590914421796899792	07-Nov-2016 15:24:00	0.00	50.00	50
infant_4590914421796899792	07-Nov-2016 15:24:00	143.33	440.00	440
infant_4590914421796899792	07-Nov-2016 15:24:00	920.00	1176.67	1177
infant_4590914421796899792	07-Nov-2016 15:24:00	1250.00	1536.67	1537
infant_4590914421796899792	07-Nov-2016 15:24:00	2993.33	3296.67	3297
infant_4606305162693909260	07-Nov-2016 14:50:02	33.33	226.67	227
infant_4606305162693909260	07-Nov-2016 14:50:02	303.33	543.33	543
infant_4606305162693909260	07-Nov-2016 14:50:02	600.00	736.67	737
infant_4606305162693909260	07-Nov-2016 14:50:02	2160.00	2270.00	2270
infant_4606305162693909260	07-Nov-2016 14:50:02	2366.67	2790.00	2790
infant_4606305162693909260	07-Nov-2016 14:50:02	2863.33	3236.67	3237
infant_4606305162693909260	07-Nov-2016 14:50:02	3290.00	3386.67	3387
infant_4606305162693909260	07-Nov-2016 14:50:02	3533.33	3630.00	3630
infant_4606305162693909260	07-Nov-2016 14:50:02	3766.67	3846.67	3847
infant_4599348903986769270	07-Nov-2016 15:12:48	16.67	300.00	300
infant_4599348903986769270	07-Nov-2016 15:12:48	380.00	443.33	443
infant_4599348903986769270	07-Nov-2016 15:12:48	826.67	1570.00	1570
infant_4599348903986769270	07-Nov-2016 15:12:48	1623.33	1690.00	1690
infant_4599348903986769270	07-Nov-2016 15:12:48	1776.67	1870.00	1870
infant_4599348903986769270	07-Nov-2016 15:12:48	1923.33	2270.00	2270
infant_4603997294600609666	07-Nov-2016 15:12:22	0.00	546.67	547
infant_4603997294600609666	07-Nov-2016 15:12:22	616.67	776.67	777
infant_4603997294600609666	07-Nov-2016 15:12:22	1686.67	1713.33	1713
infant_4601213487207749474	07-Nov-2016 14:52:18	2736.67	2923.33	2923
infant_4597078871350441716	07-Nov-2016 14:45:28	0.00	356.67	357
infant_4597078871350441716	07-Nov-2016 14:45:28	420.00	746.67	747
infant_4597078871350441716	07-Nov-2016 14:45:28	890.00	1130.00	1130
infant_4597078871350441716	07-Nov-2016 14:45:28	1236.67	1436.67	1437
infant_4605790343889806556	07-Nov-2016 15:03:52	0.00	10.00	10
infant_4605790343889806556	07-Nov-2016 15:03:52	83.33	426.67	427
infant_4605790343889806556	07-Nov-2016 15:03:52	516.67	653.33	653
infant_4605026287769552265	07-Nov-2016 14:15:42	333.33	450.00	450
infant_4607158533597356135	07-Nov-2016 14:15:06	23.33	376.67	377
infant_4607158533597356135	07-Nov-2016 14:15:06	416.67	516.67	517
infant_4607158533597356135	07-Nov-2016 14:15:06	560.00	626.67	627
infant_4604414452347604331	07-Nov-2016 14:58:36	0.00	250.00	250
infant_4604414452347604331	07-Nov-2016 14:58:36	346.67	1880.00	1880
infant_4607024019025466472	07-Nov-2016 15:13:32	0.00	150.00	150
infant_4607024019025466472	07-Nov-2016 15:13:32	546.67	613.33	613
infant_4607024019025466472	07-Nov-2016 15:13:32	2353.33	2563.33	2563
infant_4604520769739043253	07-Nov-2016 15:15:14	0.00	380.00	380
infant_4604520769739043253	07-Nov-2016 15:15:14	426.67	973.33	973
infant_4604520769739043253	07-Nov-2016 15:15:14	1076.67	1356.67	1357
infant_4604520769739043253	07-Nov-2016 15:15:14	1466.67	1683.33	1683
infant_4604520769739043253	07-Nov-2016 15:15:14	1773.33	2080.00	2080
infant_4604520769739043253	07-Nov-2016 15:15:14	2140.00	2420.00	2420
infant_4604520769739043253	07-Nov-2016 15:15:14	2473.33	2560.00	2560
infant_4606498067956522852	07-Nov-2016 14:44:08	0.00	363.33	363
infant_4606498067956522852	07-Nov-2016 14:44:08	446.67	546.67	547
infant_4593374168856434128	07-Nov-2016 15:24:44	0.00	580.00	580
infant_4593374168856434128	07-Nov-2016 15:24:44	676.67	1566.67	1567
infant_4593374168856434128	07-Nov-2016 15:24:44	2050.00	2180.00	2180
infant_4593374168856434128	07-Nov-2016 15:24:44	2283.33	2586.67	2587
infant_4593374168856434128	07-Nov-2016 15:24:44	2666.67	3013.33	3013
