Trial	datum	FixStart	FixEnd	FixDur
infant_4605609553565853524	30-Jan-2017 13:49:02	0.00	440.00	440
infant_4605609553565853524	30-Jan-2017 13:49:02	480.00	753.33	753
infant_4605609553565853524	30-Jan-2017 13:49:02	790.00	1210.00	1210
infant_4605609553565853524	30-Jan-2017 13:49:02	1263.33	2283.33	2283
infant_4605609553565853524	30-Jan-2017 13:49:02	2376.67	2770.00	2770
infant_4605609553565853524	30-Jan-2017 13:49:02	2830.00	3170.00	3170
infant_4605609553565853524	30-Jan-2017 13:49:02	3250.00	3610.00	3610
infant_4605609553565853524	30-Jan-2017 13:49:02	3676.67	4010.00	4010
infant_4605410513238776168	30-Jan-2017 14:02:56	0.00	390.00	390
infant_4605410513238776168	30-Jan-2017 14:02:56	576.67	666.67	667
infant_4605410513238776168	30-Jan-2017 14:02:56	813.33	1013.33	1013
infant_4605410513238776168	30-Jan-2017 14:02:56	1083.33	1403.33	1403
infant_4605410513238776168	30-Jan-2017 14:02:56	1890.00	2336.67	2337
infant_4605410513238776168	30-Jan-2017 14:02:56	2776.67	2990.00	2990
infant_4605410513238776168	30-Jan-2017 14:02:56	3090.00	3473.33	3473
infant_4604872544363843626	30-Jan-2017 13:04:52	0.00	46.67	47
infant_4604872544363843626	30-Jan-2017 13:04:52	113.33	343.33	343
infant_4604872544363843626	30-Jan-2017 13:04:52	393.33	520.00	520
infant_4595653501593606004	30-Jan-2017 14:03:30	3.33	326.67	327
infant_4595653501593606004	30-Jan-2017 14:03:30	416.67	783.33	783
infant_4595653501593606004	30-Jan-2017 14:03:30	833.33	1116.67	1117
infant_4595653501593606004	30-Jan-2017 14:03:30	1196.67	1520.00	1520
infant_4595653501593606004	30-Jan-2017 14:03:30	1553.33	1780.00	1780
infant_4595653501593606004	30-Jan-2017 14:03:30	1900.00	3066.67	3067
infant_4595653501593606004	30-Jan-2017 14:03:30	3213.33	3616.67	3617
infant_4591350692076781768	30-Jan-2017 13:57:16	0.00	456.67	457
infant_4591350692076781768	30-Jan-2017 13:57:16	603.33	763.33	763
infant_4591350692076781768	30-Jan-2017 13:57:16	856.67	930.00	930
infant_4591350692076781768	30-Jan-2017 13:57:16	993.33	1153.33	1153
infant_4591350692076781768	30-Jan-2017 13:57:16	1476.67	1680.00	1680
infant_4591350692076781768	30-Jan-2017 13:57:16	1733.33	1806.67	1807
infant_4591350692076781768	30-Jan-2017 13:57:16	2066.67	2500.00	2500
infant_4591350692076781768	30-Jan-2017 13:57:16	2606.67	2826.67	2827
infant_4591350692076781768	30-Jan-2017 13:57:16	2886.67	2923.33	2923
infant_4591350692076781768	30-Jan-2017 13:57:16	3950.00	3976.67	3977
infant_4585006770229471040	30-Jan-2017 13:25:26	0.00	73.33	73
infant_4585006770229471040	30-Jan-2017 13:25:26	100.00	543.33	543
infant_4585006770229471040	30-Jan-2017 13:25:26	600.00	1053.33	1053
infant_4585006770229471040	30-Jan-2017 13:25:26	1743.33	1833.33	1833
infant_4585006770229471040	30-Jan-2017 13:25:26	1863.33	1910.00	1910
infant_4590914421796899792	30-Jan-2017 13:48:22	0.00	56.67	57
infant_4590914421796899792	30-Jan-2017 13:48:22	143.33	440.00	440
infant_4590914421796899792	30-Jan-2017 13:48:22	910.00	1540.00	1540
infant_4590914421796899792	30-Jan-2017 13:48:22	2993.33	3296.67	3297
infant_4606305162693909260	30-Jan-2017 13:00:24	40.00	223.33	223
infant_4606305162693909260	30-Jan-2017 13:00:24	300.00	543.33	543
infant_4606305162693909260	30-Jan-2017 13:00:24	596.67	740.00	740
infant_4606305162693909260	30-Jan-2017 13:00:24	2200.00	2273.33	2273
infant_4606305162693909260	30-Jan-2017 13:00:24	2360.00	2793.33	2793
infant_4606305162693909260	30-Jan-2017 13:00:24	2856.67	3236.67	3237
infant_4606305162693909260	30-Jan-2017 13:00:24	3290.00	3380.00	3380
infant_4606305162693909260	30-Jan-2017 13:00:24	3556.67	3636.67	3637
infant_4606305162693909260	30-Jan-2017 13:00:24	3700.00	3846.67	3847
infant_4599348903986769270	30-Jan-2017 13:23:48	13.33	276.67	277
infant_4599348903986769270	30-Jan-2017 13:23:48	356.67	440.00	440
infant_4599348903986769270	30-Jan-2017 13:23:48	853.33	1686.67	1687
infant_4599348903986769270	30-Jan-2017 13:23:48	1786.67	2266.67	2267
infant_4603997294600609666	30-Jan-2017 13:55:20	0.00	543.33	543
infant_4603997294600609666	30-Jan-2017 13:55:20	623.33	760.00	760
infant_4603997294600609666	30-Jan-2017 13:55:20	1683.33	1713.33	1713
infant_4601213487207749474	30-Jan-2017 13:47:00	2800.00	2920.00	2920
infant_4597078871350441716	30-Jan-2017 13:54:52	3.33	43.33	43
infant_4597078871350441716	30-Jan-2017 13:54:52	76.67	283.33	283
infant_4597078871350441716	30-Jan-2017 13:54:52	300.00	360.00	360
infant_4597078871350441716	30-Jan-2017 13:54:52	393.33	513.33	513
infant_4597078871350441716	30-Jan-2017 13:54:52	550.00	680.00	680
infant_4597078871350441716	30-Jan-2017 13:54:52	710.00	753.33	753
infant_4597078871350441716	30-Jan-2017 13:54:52	866.67	1153.33	1153
infant_4597078871350441716	30-Jan-2017 13:54:52	1210.00	1436.67	1437
infant_4605790343889806556	30-Jan-2017 14:01:34	93.33	423.33	423
infant_4605790343889806556	30-Jan-2017 14:01:34	513.33	650.00	650
infant_4605026287769552265	30-Jan-2017 13:36:30	346.67	450.00	450
infant_4605026287769552265	30-Jan-2017 13:36:30	466.67	480.00	480
infant_4607158533597356135	30-Jan-2017 12:48:16	30.00	370.00	370
infant_4607158533597356135	30-Jan-2017 12:48:16	413.33	616.67	617
infant_4604414452347604331	30-Jan-2017 13:50:52	70.00	123.33	123
infant_4604414452347604331	30-Jan-2017 13:50:52	153.33	210.00	210
infant_4604414452347604331	30-Jan-2017 13:50:52	233.33	280.00	280
infant_4604414452347604331	30-Jan-2017 13:50:52	313.33	360.00	360
infant_4604414452347604331	30-Jan-2017 13:50:52	383.33	436.67	437
infant_4604414452347604331	30-Jan-2017 13:50:52	466.67	833.33	833
infant_4604414452347604331	30-Jan-2017 13:50:52	853.33	976.67	977
infant_4604414452347604331	30-Jan-2017 13:50:52	1006.67	1543.33	1543
infant_4604414452347604331	30-Jan-2017 13:50:52	1566.67	1860.00	1860
infant_4607024019025466472	30-Jan-2017 13:55:42	0.00	143.33	143
infant_4607024019025466472	30-Jan-2017 13:55:42	540.00	650.00	650
infant_4607024019025466472	30-Jan-2017 13:55:42	2346.67	2556.67	2557
infant_4604520769739043253	30-Jan-2017 12:54:12	0.00	380.00	380
infant_4604520769739043253	30-Jan-2017 12:54:12	426.67	980.00	980
infant_4604520769739043253	30-Jan-2017 12:54:12	1070.00	1366.67	1367
infant_4604520769739043253	30-Jan-2017 12:54:12	1466.67	1686.67	1687
infant_4604520769739043253	30-Jan-2017 12:54:12	1770.00	2083.33	2083
infant_4604520769739043253	30-Jan-2017 12:54:12	2126.67	2416.67	2417
infant_4604520769739043253	30-Jan-2017 12:54:12	2466.67	2560.00	2560
infant_4606498067956522852	30-Jan-2017 13:55:02	0.00	363.33	363
infant_4606498067956522852	30-Jan-2017 13:55:02	446.67	546.67	547
infant_4593374168856434128	30-Jan-2017 13:34:08	0.00	576.67	577
infant_4593374168856434128	30-Jan-2017 13:34:08	676.67	1553.33	1553
infant_4593374168856434128	30-Jan-2017 13:34:08	2053.33	2200.00	2200
infant_4593374168856434128	30-Jan-2017 13:34:08	2266.67	2586.67	2587
infant_4593374168856434128	30-Jan-2017 13:34:08	2663.33	3016.67	3017
infant_4593374168856434128	30-Jan-2017 13:34:08	3093.33	3896.67	3897
infant_4598723594691913910	30-Jan-2017 12:52:22	0.00	306.67	307
infant_4598723594691913910	30-Jan-2017 12:52:22	363.33	713.33	713
infant_4598723594691913910	30-Jan-2017 12:52:22	886.67	1116.67	1117
infant_4598723594691913910	30-Jan-2017 12:52:22	1193.33	1280.00	1280
infant_4598723594691913910	30-Jan-2017 12:52:22	1336.67	1830.00	1830
infant_4598723594691913910	30-Jan-2017 12:52:22	1906.67	2233.33	2233
infant_4598723594691913910	30-Jan-2017 12:52:22	2310.00	2396.67	2397
infant_4598741422749287946	30-Jan-2017 13:20:26	0.00	340.00	340
infant_4598741422749287946	30-Jan-2017 13:20:26	376.67	863.33	863
infant_4598741422749287946	30-Jan-2017 13:20:26	953.33	1370.00	1370
infant_4598741422749287946	30-Jan-2017 13:20:26	1426.67	2000.00	2000
infant_4598741422749287946	30-Jan-2017 13:20:26	2083.33	2603.33	2603
