Trial	datum	FixStart	FixEnd	FixDur
infant_4605609553565853524	02-Mar-2017 11:08:04	0.00	436.67	437
infant_4605609553565853524	02-Mar-2017 11:08:04	486.67	746.67	260
infant_4605609553565853524	02-Mar-2017 11:08:04	786.67	1210.00	423
infant_4605609553565853524	02-Mar-2017 11:08:04	1250.00	2286.67	1037
infant_4605609553565853524	02-Mar-2017 11:08:04	2383.33	2776.67	393
infant_4605609553565853524	02-Mar-2017 11:08:04	2816.67	3170.00	353
infant_4605609553565853524	02-Mar-2017 11:08:04	3243.33	3616.67	373
infant_4605609553565853524	02-Mar-2017 11:08:04	3660.00	4010.00	350
infant_4605410513238776168	02-Mar-2017 11:12:30	0.00	393.33	393
infant_4605410513238776168	02-Mar-2017 11:12:30	600.00	686.67	87
infant_4605410513238776168	02-Mar-2017 11:12:30	826.67	1016.67	190
infant_4605410513238776168	02-Mar-2017 11:12:30	1083.33	1410.00	327
infant_4605410513238776168	02-Mar-2017 11:12:30	1896.67	2340.00	443
infant_4605410513238776168	02-Mar-2017 11:12:30	2770.00	2983.33	213
infant_4605410513238776168	02-Mar-2017 11:12:30	3086.67	3466.67	380
infant_4604872544363843626	02-Mar-2017 10:36:10	0.00	50.00	50
infant_4604872544363843626	02-Mar-2017 10:36:10	96.67	340.00	243
infant_4604872544363843626	02-Mar-2017 10:36:10	396.67	520.00	123
infant_4595653501593606004	02-Mar-2017 10:25:08	0.00	326.67	327
infant_4595653501593606004	02-Mar-2017 10:25:08	420.00	786.67	367
infant_4595653501593606004	02-Mar-2017 10:25:08	823.33	1120.00	297
infant_4595653501593606004	02-Mar-2017 10:25:08	1200.00	1516.67	317
infant_4595653501593606004	02-Mar-2017 10:25:08	1556.67	1776.67	220
infant_4595653501593606004	02-Mar-2017 10:25:08	1896.67	3070.00	1173
infant_4595653501593606004	02-Mar-2017 10:25:08	3216.67	3616.67	400
infant_4591350692076781768	02-Mar-2017 11:13:10	0.00	460.00	460
infant_4591350692076781768	02-Mar-2017 11:13:10	603.33	816.67	213
infant_4591350692076781768	02-Mar-2017 11:13:10	850.00	933.33	83
