Trial	datum	FixStart	FixEnd	FixDur
4606088225108498269	07-Nov-2016 11:20:46	0.00	436.67	437
4606088225108498269	07-Nov-2016 11:20:46	486.67	746.67	747
4606088225108498269	07-Nov-2016 11:20:46	793.33	1206.67	1207
4606088225108498269	07-Nov-2016 11:20:46	1256.67	2290.00	2290
4606088225108498269	07-Nov-2016 11:20:46	2383.33	2770.00	2770
4606088225108498269	07-Nov-2016 11:20:46	2823.33	3170.00	3170
4606088225108498269	07-Nov-2016 11:20:46	3256.67	3616.67	3617
4606088225108498269	07-Nov-2016 11:20:46	3653.33	4010.00	4010
4605710200116761188	07-Nov-2016 11:29:32	0.00	390.00	390
4605710200116761188	07-Nov-2016 11:29:32	556.67	670.00	670
4605710200116761188	07-Nov-2016 11:29:32	803.33	1023.33	1023
4605710200116761188	07-Nov-2016 11:29:32	1076.67	1423.33	1423
4605710200116761188	07-Nov-2016 11:29:32	1650.00	1776.67	1777
4605710200116761188	07-Nov-2016 11:29:32	1843.33	2340.00	2340
4605710200116761188	07-Nov-2016 11:29:32	2733.33	2990.00	2990
4605710200116761188	07-Nov-2016 11:29:32	3056.67	3470.00	3470
4600307505485708974	07-Nov-2016 10:52:04	0.00	46.67	47
4600307505485708974	07-Nov-2016 10:52:04	96.67	340.00	340
4600307505485708974	07-Nov-2016 10:52:04	393.33	520.00	520
4600582811275982168	07-Nov-2016 11:29:58	0.00	326.67	327
4600582811275982168	07-Nov-2016 11:29:58	416.67	790.00	790
4600582811275982168	07-Nov-2016 11:29:58	830.00	1120.00	1120
4600582811275982168	07-Nov-2016 11:29:58	1190.00	1776.67	1777
4600582811275982168	07-Nov-2016 11:29:58	1866.67	3070.00	3070
4600582811275982168	07-Nov-2016 11:29:58	3220.00	3623.33	3623
4603509025321189282	07-Nov-2016 11:25:30	0.00	463.33	463
4603509025321189282	07-Nov-2016 11:25:30	600.00	936.67	937
4603509025321189282	07-Nov-2016 11:25:30	1003.33	1150.00	1150
4603509025321189282	07-Nov-2016 11:25:30	1483.33	1790.00	1790
4603509025321189282	07-Nov-2016 11:25:30	2056.67	2506.67	2507
4603509025321189282	07-Nov-2016 11:25:30	2590.00	2836.67	2837
4603509025321189282	07-Nov-2016 11:25:30	2880.00	2920.00	2920
4603509025321189282	07-Nov-2016 11:25:30	3953.33	3973.33	3973
4605110261562327531	07-Nov-2016 11:04:38	133.33	543.33	543
4605110261562327531	07-Nov-2016 11:04:38	606.67	1050.00	1050
