Trial	datum	FixStart	FixEnd	FixDur
4606088225108498269	09-Nov-2016 18:52:36	0.00	440.00	440
4606088225108498269	09-Nov-2016 18:52:36	493.33	650.00	650
4606088225108498269	09-Nov-2016 18:52:36	783.33	886.67	887
4606088225108498269	09-Nov-2016 18:52:36	936.67	1213.33	1213
4606088225108498269	09-Nov-2016 18:52:36	1260.00	2293.33	2293
4606088225108498269	09-Nov-2016 18:52:36	2383.33	2690.00	2690
4606088225108498269	09-Nov-2016 18:52:36	2800.00	3176.67	3177
4606088225108498269	09-Nov-2016 18:52:36	3250.00	3613.33	3613
4606088225108498269	09-Nov-2016 18:52:36	3653.33	4003.33	4003
4605710200116761188	09-Nov-2016 19:07:12	0.00	393.33	393
4605710200116761188	09-Nov-2016 19:07:12	573.33	670.00	670
4605710200116761188	09-Nov-2016 19:07:12	1230.00	1406.67	1407
4605710200116761188	09-Nov-2016 19:07:12	1896.67	2346.67	2347
4605710200116761188	09-Nov-2016 19:07:12	2766.67	2990.00	2990
4605710200116761188	09-Nov-2016 19:07:12	3133.33	3473.33	3473
4600307505485708974	09-Nov-2016 18:00:22	0.00	53.33	53
4600307505485708974	09-Nov-2016 18:00:22	120.00	153.33	153
4600307505485708974	09-Nov-2016 18:00:22	173.33	243.33	243
4600307505485708974	09-Nov-2016 18:00:22	416.67	516.67	517
4600582811275982168	09-Nov-2016 19:07:44	0.00	326.67	327
4600582811275982168	09-Nov-2016 19:07:44	406.67	776.67	777
4600582811275982168	09-Nov-2016 19:07:44	836.67	1126.67	1127
4600582811275982168	09-Nov-2016 19:07:44	1186.67	1516.67	1517
4600582811275982168	09-Nov-2016 19:07:44	1550.00	1786.67	1787
4600582811275982168	09-Nov-2016 19:07:44	1883.33	3076.67	3077
4600582811275982168	09-Nov-2016 19:07:44	3206.67	3626.67	3627
4603509025321189282	09-Nov-2016 19:00:14	0.00	466.67	467
4603509025321189282	09-Nov-2016 19:00:14	593.33	770.00	770
4603509025321189282	09-Nov-2016 19:00:14	850.00	940.00	940
4603509025321189282	09-Nov-2016 19:00:14	1486.67	1676.67	1677
4603509025321189282	09-Nov-2016 19:00:14	1733.33	1806.67	1807
4603509025321189282	09-Nov-2016 19:00:14	2103.33	2506.67	2507
4603509025321189282	09-Nov-2016 19:00:14	2593.33	2850.00	2850
4603509025321189282	09-Nov-2016 19:00:14	2883.33	2920.00	2920
4603509025321189282	09-Nov-2016 19:00:14	3946.67	3980.00	3980
4605110261562327531	09-Nov-2016 18:30:08	100.00	546.67	547
4605110261562327531	09-Nov-2016 18:30:08	596.67	1053.33	1053
4605110261562327531	09-Nov-2016 18:30:08	1760.00	1823.33	1823
4603160733441595155	09-Nov-2016 18:51:48	3.33	66.67	67
4603160733441595155	09-Nov-2016 18:51:48	140.00	446.67	447
4603160733441595155	09-Nov-2016 18:51:48	923.33	1190.00	1190
4603160733441595155	09-Nov-2016 18:51:48	1253.33	1536.67	1537
4603160733441595155	09-Nov-2016 18:51:48	2990.00	3293.33	3293
4604609825256997362	09-Nov-2016 17:47:34	343.33	536.67	537
4604609825256997362	09-Nov-2016 17:47:34	616.67	743.33	743
4604609825256997362	09-Nov-2016 17:47:34	2233.33	2273.33	2273
4604609825256997362	09-Nov-2016 17:47:34	2390.00	2796.67	2797
4604609825256997362	09-Nov-2016 17:47:34	2870.00	3240.00	3240
4604609825256997362	09-Nov-2016 17:47:34	3306.67	3380.00	3380
4604609825256997362	09-Nov-2016 17:47:34	3543.33	3633.33	3633
4604609825256997362	09-Nov-2016 17:47:34	3770.00	3843.33	3843
4604585409922328792	09-Nov-2016 18:28:52	100.00	293.33	293
4604585409922328792	09-Nov-2016 18:28:52	383.33	426.67	427
4604585409922328792	09-Nov-2016 18:28:52	890.00	1583.33	1583
4604585409922328792	09-Nov-2016 18:28:52	1620.00	1693.33	1693
4604585409922328792	09-Nov-2016 18:28:52	1763.33	1873.33	1873
4604585409922328792	09-Nov-2016 18:28:52	1926.67	2266.67	2267
4594758118865345708	09-Nov-2016 18:58:28	0.00	550.00	550
4594758118865345708	09-Nov-2016 18:58:28	606.67	653.33	653
4594758118865345708	09-Nov-2016 18:58:28	696.67	760.00	760
4596075166920682896	09-Nov-2016 18:50:58	2796.67	2916.67	2917
4603614199884996553	09-Nov-2016 18:58:02	3.33	43.33	43
4603614199884996553	09-Nov-2016 18:58:02	76.67	200.00	200
4603614199884996553	09-Nov-2016 18:58:02	230.00	280.00	280
4603614199884996553	09-Nov-2016 18:58:02	303.33	356.67	357
4603614199884996553	09-Nov-2016 18:58:02	393.33	436.67	437
4603614199884996553	09-Nov-2016 18:58:02	466.67	513.33	513
4603614199884996553	09-Nov-2016 18:58:02	553.33	603.33	603
4603614199884996553	09-Nov-2016 18:58:02	636.67	673.33	673
4603614199884996553	09-Nov-2016 18:58:02	713.33	756.67	757
4603614199884996553	09-Nov-2016 18:58:02	866.67	910.00	910
4603614199884996553	09-Nov-2016 18:58:02	950.00	983.33	983
4603614199884996553	09-Nov-2016 18:58:02	1040.00	1073.33	1073
4603614199884996553	09-Nov-2016 18:58:02	1116.67	1150.00	1150
4605316445939495336	09-Nov-2016 19:05:20	186.67	430.00	430
4605316445939495336	09-Nov-2016 19:05:20	506.67	650.00	650
4601102436576586668	09-Nov-2016 18:42:56	336.67	456.67	457
4587209573433201392	09-Nov-2016 17:21:58	0.00	10.00	10
4587209573433201392	09-Nov-2016 17:21:58	30.00	376.67	377
4587209573433201392	09-Nov-2016 17:21:58	413.33	616.67	617
4599103595991725026	09-Nov-2016 18:55:04	166.67	203.33	203
4599103595991725026	09-Nov-2016 18:55:04	233.33	266.67	267
4599103595991725026	09-Nov-2016 18:55:04	316.67	356.67	357
4599103595991725026	09-Nov-2016 18:55:04	386.67	433.33	433
4599103595991725026	09-Nov-2016 18:55:04	473.33	746.67	747
4599103595991725026	09-Nov-2016 18:55:04	776.67	826.67	827
4599103595991725026	09-Nov-2016 18:55:04	853.33	966.67	967
4599103595991725026	09-Nov-2016 18:55:04	1030.00	1100.00	1100
4599103595991725026	09-Nov-2016 18:55:04	1203.33	1353.33	1353
4599103595991725026	09-Nov-2016 18:55:04	1380.00	1456.67	1457
4599103595991725026	09-Nov-2016 18:55:04	1490.00	1536.67	1537
4599103595991725026	09-Nov-2016 18:55:04	1580.00	1690.00	1690
4601402767896331326	09-Nov-2016 18:58:52	0.00	150.00	150
4601402767896331326	09-Nov-2016 18:58:52	563.33	613.33	613
4601402767896331326	09-Nov-2016 18:58:52	2406.67	2553.33	2553
4600264851861606874	09-Nov-2016 17:33:40	0.00	383.33	383
4600264851861606874	09-Nov-2016 17:33:40	430.00	983.33	983
4600264851861606874	09-Nov-2016 17:33:40	1083.33	1370.00	1370
4600264851861606874	09-Nov-2016 17:33:40	1466.67	1660.00	1660
4600264851861606874	09-Nov-2016 17:33:40	1773.33	2080.00	2080
4600264851861606874	09-Nov-2016 17:33:40	2133.33	2413.33	2413
4600264851861606874	09-Nov-2016 17:33:40	2470.00	2500.00	2500
4600264851861606874	09-Nov-2016 17:33:40	2533.33	2560.00	2560
4606388977952894022	09-Nov-2016 18:58:16	0.00	366.67	367
4606388977952894022	09-Nov-2016 18:58:16	446.67	543.33	543
4600637815422644402	09-Nov-2016 18:40:26	3.33	590.00	590
4600637815422644402	09-Nov-2016 18:40:26	656.67	1306.67	1307
4600637815422644402	09-Nov-2016 18:40:26	2066.67	2200.00	2200
4600637815422644402	09-Nov-2016 18:40:26	2273.33	2593.33	2593
4600637815422644402	09-Nov-2016 18:40:26	2656.67	3016.67	3017
4600637815422644402	09-Nov-2016 18:40:26	3073.33	3903.33	3903
4600455176561914844	09-Nov-2016 17:30:42	0.00	313.33	313
4600455176561914844	09-Nov-2016 17:30:42	360.00	716.67	717
4600455176561914844	09-Nov-2016 17:30:42	973.33	1123.33	1123
4600455176561914844	09-Nov-2016 17:30:42	1210.00	1826.67	1827
