Trial	datum	FixStart	FixEnd	FixDur
infant_4605609553565853524	07-Mar-2017 11:32:08	0.00	440.00	440
infant_4605609553565853524	07-Mar-2017 11:32:08	483.33	750.00	267
infant_4605609553565853524	07-Mar-2017 11:32:08	796.67	1210.00	413
infant_4605609553565853524	07-Mar-2017 11:32:08	1260.00	2286.67	1027
infant_4605609553565853524	07-Mar-2017 11:32:08	2380.00	2770.00	390
infant_4605609553565853524	07-Mar-2017 11:32:08	2823.33	3170.00	347
infant_4605609553565853524	07-Mar-2017 11:32:08	3250.00	3616.67	367
infant_4605609553565853524	07-Mar-2017 11:32:08	3660.00	4010.00	350
infant_4605410513238776168	07-Mar-2017 12:57:46	0.00	386.67	387
infant_4605410513238776168	07-Mar-2017 12:57:46	576.67	676.67	100
infant_4605410513238776168	07-Mar-2017 12:57:46	806.67	1020.00	213
infant_4605410513238776168	07-Mar-2017 12:57:46	1083.33	1413.33	330
infant_4605410513238776168	07-Mar-2017 12:57:46	1660.00	1790.00	130
infant_4605410513238776168	07-Mar-2017 12:57:46	1880.00	2343.33	463
infant_4605410513238776168	07-Mar-2017 12:57:46	2760.00	2986.67	227
infant_4605410513238776168	07-Mar-2017 12:57:46	3086.67	3470.00	383
infant_4604872544363843626	07-Mar-2017 10:45:24	0.00	50.00	50
infant_4604872544363843626	07-Mar-2017 10:45:24	100.00	340.00	240
infant_4604872544363843626	07-Mar-2017 10:45:24	396.67	520.00	123
infant_4595653501593606004	07-Mar-2017 11:45:50	0.00	323.33	323
infant_4595653501593606004	07-Mar-2017 11:45:50	470.00	786.67	317
infant_4595653501593606004	07-Mar-2017 11:45:50	833.33	1116.67	283
infant_4595653501593606004	07-Mar-2017 11:45:50	1196.67	1780.00	583
infant_4595653501593606004	07-Mar-2017 11:45:50	1896.67	3070.00	1173
infant_4595653501593606004	07-Mar-2017 11:45:50	3216.67	3620.00	403
infant_4591350692076781768	07-Mar-2017 11:29:52	0.00	53.33	53
infant_4591350692076781768	07-Mar-2017 11:29:52	86.67	463.33	377
infant_4591350692076781768	07-Mar-2017 11:29:52	600.00	770.00	170
infant_4591350692076781768	07-Mar-2017 11:29:52	793.33	820.00	27
infant_4591350692076781768	07-Mar-2017 11:29:52	850.00	943.33	93
infant_4591350692076781768	07-Mar-2017 11:29:52	1486.67	1880.00	393
infant_4591350692076781768	07-Mar-2017 11:29:52	2076.67	2510.00	433
infant_4591350692076781768	07-Mar-2017 11:29:52	2586.67	2846.67	260
infant_4585006770229471040	07-Mar-2017 11:39:14	213.33	663.33	450
infant_4585006770229471040	07-Mar-2017 11:39:14	713.33	1166.67	453
infant_4585006770229471040	07-Mar-2017 11:39:14	1866.67	1950.00	83
infant_4590914421796899792	07-Mar-2017 11:46:20	0.00	63.33	63
infant_4590914421796899792	07-Mar-2017 11:46:20	146.67	440.00	293
infant_4590914421796899792	07-Mar-2017 11:46:20	920.00	1533.33	613
infant_4590914421796899792	07-Mar-2017 11:46:20	3006.67	3296.67	290
infant_4606305162693909260	07-Mar-2017 12:59:14	216.67	403.33	187
infant_4606305162693909260	07-Mar-2017 12:59:14	476.67	703.33	227
infant_4606305162693909260	07-Mar-2017 12:59:14	756.67	916.67	160
infant_4606305162693909260	07-Mar-2017 12:59:14	2376.67	2433.33	57
infant_4606305162693909260	07-Mar-2017 12:59:14	2513.33	2953.33	440
infant_4606305162693909260	07-Mar-2017 12:59:14	3023.33	3400.00	377
infant_4606305162693909260	07-Mar-2017 12:59:14	3716.67	3800.00	83
infant_4606305162693909260	07-Mar-2017 12:59:14	3853.33	4010.00	157
infant_4599348903986769270	07-Mar-2017 10:43:28	1763.33	2023.33	260
infant_4599348903986769270	07-Mar-2017 10:43:28	2106.67	2196.67	90
infant_4599348903986769270	07-Mar-2017 10:43:28	2576.67	3430.00	853
infant_4599348903986769270	07-Mar-2017 10:43:28	3513.33	4010.00	497
infant_4603997294600609666	07-Mar-2017 13:52:54	0.00	546.67	547
infant_4603997294600609666	07-Mar-2017 13:52:54	623.33	776.67	153
infant_4601213487207749474	07-Mar-2017 13:54:08	3840.00	4013.33	173
infant_4597078871350441716	07-Mar-2017 13:51:32	170.00	293.33	123
infant_4597078871350441716	07-Mar-2017 13:51:32	323.33	450.00	127
infant_4597078871350441716	07-Mar-2017 13:51:32	480.00	846.67	367
infant_4597078871350441716	07-Mar-2017 13:51:32	933.33	1243.33	310
infant_4597078871350441716	07-Mar-2017 13:51:32	1303.33	1526.67	223
infant_4605790343889806556	07-Mar-2017 13:00:42	140.00	453.33	313
infant_4605790343889806556	07-Mar-2017 13:00:42	523.33	676.67	153
infant_4605026287769552265	07-Mar-2017 09:06:34	3566.67	3733.33	167
infant_4607158533597356135	06-Mar-2017 14:48:26	33.33	373.33	340
infant_4604414452347604331	07-Mar-2017 09:05:36	1766.67	3656.67	1890
infant_4607024019025466472	07-Mar-2017 13:00:28	0.00	160.00	160
infant_4607024019025466472	07-Mar-2017 13:00:28	2360.00	2563.33	203
infant_4604520769739043253	07-Mar-2017 13:19:50	0.00	376.67	377
infant_4604520769739043253	07-Mar-2017 13:19:50	423.33	980.00	557
infant_4604520769739043253	07-Mar-2017 13:19:50	1076.67	1366.67	290
infant_4604520769739043253	07-Mar-2017 13:19:50	1456.67	1686.67	230
infant_4604520769739043253	07-Mar-2017 13:19:50	1770.00	2076.67	307
infant_4604520769739043253	07-Mar-2017 13:19:50	2130.00	2433.33	303
infant_4604520769739043253	07-Mar-2017 13:19:50	2470.00	2560.00	90
infant_4606498067956522852	07-Mar-2017 13:18:36	0.00	373.33	373
infant_4606498067956522852	07-Mar-2017 13:18:36	446.67	546.67	100
infant_4593374168856434128	07-Mar-2017 11:33:00	0.00	580.00	580
infant_4593374168856434128	07-Mar-2017 11:33:00	670.00	1556.67	887
infant_4593374168856434128	07-Mar-2017 11:33:00	2066.67	2206.67	140
infant_4593374168856434128	07-Mar-2017 11:33:00	2260.00	2586.67	327
infant_4593374168856434128	07-Mar-2017 11:33:00	2663.33	3016.67	353
infant_4593374168856434128	07-Mar-2017 11:33:00	3090.00	3893.33	803
infant_4598723594691913910	07-Mar-2017 13:50:22	0.00	310.00	310
infant_4598723594691913910	07-Mar-2017 13:50:22	353.33	713.33	360
infant_4598723594691913910	07-Mar-2017 13:50:22	866.67	1120.00	253
infant_4598723594691913910	07-Mar-2017 13:50:22	1196.67	1830.00	633
infant_4598723594691913910	07-Mar-2017 13:50:22	1896.67	2233.33	337
infant_4598723594691913910	07-Mar-2017 13:50:22	2300.00	2396.67	97
infant_4598741422749287946	07-Mar-2017 13:21:00	0.00	343.33	343
infant_4598741422749287946	07-Mar-2017 13:21:00	373.33	873.33	500
infant_4598741422749287946	07-Mar-2017 13:21:00	960.00	1363.33	403
infant_4598741422749287946	07-Mar-2017 13:21:00	1423.33	2000.00	577
infant_4598741422749287946	07-Mar-2017 13:21:00	2076.67	2603.33	527
infant_4598741422749287946	07-Mar-2017 13:21:00	2676.67	2803.33	127
infant_4598741422749287946	07-Mar-2017 13:21:00	2833.33	3156.67	323
infant_4598741422749287946	07-Mar-2017 13:21:00	3260.00	3656.67	397
infant_4598741422749287946	07-Mar-2017 13:21:00	3723.33	4006.67	283
infant_4602834210510603581	07-Mar-2017 12:46:46	0.00	350.00	350
infant_4602834210510603581	07-Mar-2017 12:46:46	383.33	656.67	273
infant_4602834210510603581	07-Mar-2017 12:46:46	703.33	1023.33	320
infant_4602834210510603581	07-Mar-2017 12:46:46	1083.33	1183.33	100
infant_4606003927763488057	07-Mar-2017 13:01:54	0.00	316.67	317
infant_4606003927763488057	07-Mar-2017 13:01:54	416.67	1050.00	633
infant_4606003927763488057	07-Mar-2017 13:01:54	1136.67	1420.00	283
infant_4606003927763488057	07-Mar-2017 13:01:54	2000.00	2406.67	407
infant_4606003927763488057	07-Mar-2017 13:01:54	2520.00	2840.00	320
infant_4606003927763488057	07-Mar-2017 13:01:54	3613.33	4006.67	393
infant_4597253268938977956	07-Mar-2017 12:14:44	10.00	536.67	527
infant_4597253268938977956	07-Mar-2017 12:14:44	596.67	1403.33	807
infant_4597253268938977956	07-Mar-2017 12:14:44	1476.67	1726.67	250
infant_4597253268938977956	07-Mar-2017 12:14:44	1816.67	2100.00	283
infant_4597253268938977956	07-Mar-2017 12:14:44	2163.33	2466.67	303
infant_4597253268938977956	07-Mar-2017 12:14:44	2536.67	3070.00	533
infant_4597253268938977956	07-Mar-2017 12:14:44	3143.33	3530.00	387
infant_4597253268938977956	07-Mar-2017 12:14:44	3610.00	3896.67	287
infant_4592207091392917904	06-Mar-2017 14:56:16	0.00	423.33	423
infant_4592207091392917904	06-Mar-2017 14:56:16	496.67	763.33	267
infant_4592207091392917904	06-Mar-2017 14:56:16	810.00	1033.33	223
infant_4592207091392917904	06-Mar-2017 14:56:16	1256.67	1510.00	253
infant_4592207091392917904	06-Mar-2017 14:56:16	1550.00	1590.00	40
infant_4592207091392917904	06-Mar-2017 14:56:16	1906.67	2176.67	270
infant_4592207091392917904	06-Mar-2017 14:56:16	3600.00	3886.67	287
infant_4592207091392917904	06-Mar-2017 14:56:16	3926.67	4026.67	100
infant_4606365823631582353	06-Mar-2017 15:08:38	0.00	326.67	327
infant_4606365823631582353	06-Mar-2017 15:08:38	370.00	666.67	297
infant_4606365823631582353	06-Mar-2017 15:08:38	693.33	1000.00	307
infant_4606365823631582353	06-Mar-2017 15:08:38	1050.00	1283.33	233
infant_4606365823631582353	06-Mar-2017 15:08:38	1336.67	1706.67	370
infant_4606365823631582353	06-Mar-2017 15:08:38	1776.67	1840.00	63
infant_4606365823631582353	06-Mar-2017 15:08:38	1856.67	2203.33	347
infant_4606365823631582353	06-Mar-2017 15:08:38	2236.67	2450.00	213
infant_4606365823631582353	06-Mar-2017 15:08:38	2510.00	2960.00	450
infant_4606365823631582353	06-Mar-2017 15:08:38	3026.67	3390.00	363
infant_4606365823631582353	06-Mar-2017 15:08:38	3846.67	4030.00	183
infant_4595441564971508404	07-Mar-2017 12:09:38	0.00	426.67	427
infant_4595441564971508404	07-Mar-2017 12:09:38	473.33	656.67	183
infant_4595441564971508404	07-Mar-2017 12:09:38	700.00	986.67	287
infant_4595441564971508404	07-Mar-2017 12:09:38	1043.33	1323.33	280
infant_4595441564971508404	07-Mar-2017 12:09:38	1396.67	1596.67	200
infant_4595441564971508404	07-Mar-2017 12:09:38	1656.67	2496.67	840
