Trial	datum	FixStart	FixEnd	FixDur
infant_4605609553565853524	20-Oct-2016 09:54:30	0.00	450.00	450
infant_4605609553565853524	20-Oct-2016 09:54:30	480.00	753.33	273
infant_4605609553565853524	20-Oct-2016 09:54:30	786.67	1216.67	430
infant_4605609553565853524	20-Oct-2016 09:54:30	1243.33	2286.67	1043
infant_4605609553565853524	20-Oct-2016 09:54:30	2363.33	2776.67	413
infant_4605609553565853524	20-Oct-2016 09:54:30	2810.00	3176.67	367
infant_4605609553565853524	20-Oct-2016 09:54:30	3233.33	3620.00	387
infant_4605609553565853524	20-Oct-2016 09:54:30	3650.00	4010.00	360
infant_4605410513238776168	20-Oct-2016 11:14:34	3.33	396.67	393
infant_4605410513238776168	20-Oct-2016 11:14:34	556.67	683.33	127
infant_4605410513238776168	20-Oct-2016 11:14:34	810.00	1020.00	210
infant_4605410513238776168	20-Oct-2016 11:14:34	1080.00	1426.67	347
infant_4605410513238776168	20-Oct-2016 11:14:34	1863.33	2346.67	483
infant_4605410513238776168	20-Oct-2016 11:14:34	2743.33	2990.00	247
infant_4605410513238776168	20-Oct-2016 11:14:34	3056.67	3480.00	423
infant_4604872544363843626	20-Oct-2016 09:21:34	0.00	60.00	60
infant_4604872544363843626	20-Oct-2016 09:21:34	93.33	340.00	247
infant_4604872544363843626	20-Oct-2016 09:21:34	393.33	516.67	123
infant_4595653501593606004	20-Oct-2016 11:14:52	3.33	326.67	323
infant_4595653501593606004	20-Oct-2016 11:14:52	403.33	786.67	383
infant_4595653501593606004	20-Oct-2016 11:14:52	823.33	1126.67	303
infant_4595653501593606004	20-Oct-2016 11:14:52	1183.33	1783.33	600
infant_4595653501593606004	20-Oct-2016 11:14:52	1873.33	3073.33	1200
infant_4595653501593606004	20-Oct-2016 11:14:52	3203.33	3623.33	420
infant_4591350692076781768	20-Oct-2016 11:13:16	0.00	56.67	57
infant_4591350692076781768	20-Oct-2016 11:13:16	80.00	463.33	383
infant_4591350692076781768	20-Oct-2016 11:13:16	600.00	773.33	173
infant_4591350692076781768	20-Oct-2016 11:13:16	860.00	943.33	83
infant_4591350692076781768	20-Oct-2016 11:13:16	986.67	1146.67	160
infant_4591350692076781768	20-Oct-2016 11:13:16	1490.00	1880.00	390
infant_4591350692076781768	20-Oct-2016 11:13:16	2056.67	2503.33	447
infant_4591350692076781768	20-Oct-2016 11:13:16	2576.67	2840.00	263
infant_4585006770229471040	20-Oct-2016 09:35:44	213.33	666.67	453
infant_4585006770229471040	20-Oct-2016 09:35:44	710.00	1166.67	457
