Trial	datum	FixStart	FixEnd	FixDur
infant_4606074626464710742	17-Mar-2017 20:50:14	0.00	446.67	447
infant_4606074626464710742	17-Mar-2017 20:50:14	490.00	756.67	267
infant_4606074626464710742	17-Mar-2017 20:50:14	783.33	893.33	110
infant_4606074626464710742	17-Mar-2017 20:50:14	923.33	1220.00	297
infant_4606074626464710742	17-Mar-2017 20:50:14	1266.67	2293.33	1027
infant_4606074626464710742	17-Mar-2017 20:50:14	2370.00	2776.67	407
infant_4606074626464710742	17-Mar-2017 20:50:14	2813.33	3176.67	363
infant_4606074626464710742	17-Mar-2017 20:50:14	3236.67	3623.33	387
infant_4606074626464710742	17-Mar-2017 20:50:14	3650.00	4010.00	360
infant_4593749100840370728	17-Mar-2017 20:50:14	0.00	393.33	393
infant_4593749100840370728	17-Mar-2017 20:50:14	573.33	676.67	103
infant_4593749100840370728	17-Mar-2017 20:50:14	823.33	1026.67	203
infant_4593749100840370728	17-Mar-2017 20:50:14	1090.00	1426.67	337
infant_4593749100840370728	17-Mar-2017 20:50:14	1883.33	2346.67	463
infant_4593749100840370728	17-Mar-2017 20:50:14	2776.67	2993.33	217
infant_4593749100840370728	17-Mar-2017 20:50:14	3076.67	3480.00	403
infant_4600988236913845842	17-Mar-2017 20:50:14	0.00	53.33	53
infant_4600988236913845842	17-Mar-2017 20:50:14	103.33	343.33	240
infant_4600988236913845842	17-Mar-2017 20:50:14	406.67	520.00	113
infant_4604855597084353850	17-Mar-2017 20:50:14	3.33	333.33	330
infant_4604855597084353850	17-Mar-2017 20:50:14	413.33	796.67	383
infant_4604855597084353850	17-Mar-2017 20:50:14	823.33	1123.33	300
infant_4604855597084353850	17-Mar-2017 20:50:14	1196.67	1526.67	330
infant_4604855597084353850	17-Mar-2017 20:50:14	1550.00	1790.00	240
infant_4604855597084353850	17-Mar-2017 20:50:14	1883.33	3076.67	1193
infant_4604855597084353850	17-Mar-2017 20:50:14	3210.00	3626.67	417
infant_4594253942372020192	17-Mar-2017 20:50:14	0.00	470.00	470
infant_4594253942372020192	17-Mar-2017 20:50:14	593.33	773.33	180
infant_4594253942372020192	17-Mar-2017 20:50:14	850.00	936.67	87
infant_4594253942372020192	17-Mar-2017 20:50:14	1506.67	1796.67	290
infant_4594253942372020192	17-Mar-2017 20:50:14	2090.00	2510.00	420
infant_4594253942372020192	17-Mar-2017 20:50:14	2600.00	2830.00	230
infant_4605517240315513032	17-Mar-2017 20:50:14	96.67	553.33	457
infant_4605517240315513032	17-Mar-2017 20:50:14	610.00	1050.00	440
infant_4604414767731035539	17-Mar-2017 20:50:14	0.00	60.00	60
infant_4604414767731035539	17-Mar-2017 20:50:14	126.67	450.00	323
infant_4604414767731035539	17-Mar-2017 20:50:14	926.67	1200.00	273
infant_4604414767731035539	17-Mar-2017 20:50:14	1240.00	1540.00	300
infant_4604414767731035539	17-Mar-2017 20:50:14	2996.67	3283.33	287
infant_4595398786712788940	17-Mar-2017 20:50:14	50.00	226.67	177
infant_4595398786712788940	17-Mar-2017 20:50:14	303.33	546.67	243
infant_4595398786712788940	17-Mar-2017 20:50:14	590.00	746.67	157
infant_4595398786712788940	17-Mar-2017 20:50:14	2230.00	2273.33	43
infant_4595398786712788940	17-Mar-2017 20:50:14	2360.00	2800.00	440
infant_4595398786712788940	17-Mar-2017 20:50:14	2833.33	3243.33	410
infant_4595398786712788940	17-Mar-2017 20:50:14	3710.00	3846.67	137
infant_4600300815877486272	17-Mar-2017 20:50:14	120.00	290.00	170
infant_4600300815877486272	17-Mar-2017 20:50:14	923.33	1600.00	677
infant_4600300815877486272	17-Mar-2017 20:50:14	1623.33	1696.67	73
infant_4600300815877486272	17-Mar-2017 20:50:14	1766.67	2270.00	503
infant_4604653396649971847	17-Mar-2017 20:50:14	0.00	286.67	287
infant_4604653396649971847	17-Mar-2017 20:50:14	300.00	553.33	253
infant_4600262235800436304	17-Mar-2017 20:50:14	2830.00	2923.33	93
infant_4605158154464403420	17-Mar-2017 20:50:14	116.67	433.33	317
